,company,fuel_type,kms_driven,name,Price,year
0,Toyota,Diesel,1,Toyota Prado,2100000,1997
1,Suzuki,Petrol,100000,Suzuki Bolan,380000,2006
2,Suzuki,CNG,12345,Suzuki Bolan,340000,1998
3,Suzuki,Petrol,94000,Suzuki Alto,535000,2010
4,Toyota,Petrol,100000,Toyota Corolla XLI,1430000,2013
5,Toyota,Petrol,80000,Toyota Corrolla Altis,1620000,2012
6,Suzuki,CNG,65000,Suzuki Cultus VXL,450000,2006
7,Toyota,Petrol,10241,Toyota Corrolla Altis,2900000,2017
8,Suzuki,CNG,83000,Suzuki Alto,490000,2009
9,Honda,Petrol,1,Honda Civic VTi,480000,1997
10,Suzuki,CNG,123,Suzuki Khyber,230000,1994
11,Suzuki,CNG,73000,Suzuki Liana,535000,2006
12,Toyota,Petrol,78000,Toyota Passo,770000,2006
13,Honda,Petrol,1,Honda Civic Prosmetic,490000,1997
14,Honda,CNG,170000,Honda Civic EXi,160000,1984
15,Suzuki,Petrol,200000,Suzuki Alto,425000,2005
16,Daihatsu,Petrol,100000,Daihatsu Charade,180000,1988
17,Mitsubishi,Petrol,82000,Mitsubishi Pajero Mini,520000,1995
18,Suzuki,CNG,10000,Suzuki Margalla,400000,1990
19,Honda,Petrol,69500,Honda City IVTEC,1400000,2014
20,Suzuki,CNG,10000,Suzuki Khyber,175000,1989
21,KIA,CNG,123456,KIA Classic,120000,2001
22,Honda,CNG,87611,Honda Civic EXi,590000,2000
23,Honda,Hybrid,19000,Honda Other,425000,1995
24,Honda,CNG,99000,Honda Civic EXi,685000,2005
25,Suzuki,CNG,88000,Suzuki Alto,465000,2007
26,Toyota,Petrol,75000,Toyota Corolla GLI,1190000,2010
27,Other Brands,Petrol,124000,Other Brands Other,850000,2010
28,Suzuki,CNG,76000,Suzuki Cultus VXR,370000,2002
29,Nissan,Petrol,47000,Nissan Dayz Highway Star,1175000,2013
30,Toyota,Petrol,43000,Toyota Corolla XLI,1675000,2015
31,Suzuki,CNG,3875,Suzuki Mehran VX,195000,1999
32,Suzuki,CNG,98000,Suzuki Mehran VX,165000,1991
33,Suzuki,Petrol,1000,Suzuki Alto,420000,2006
34,Toyota,Petrol,39000,Toyota Vitz,1430000,2014
35,Suzuki,CNG,127000,Suzuki Mehran VXR,150000,1991
36,Suzuki,LPG,786,Suzuki Carry,130000,1982
37,Suzuki,CNG,70,Suzuki Cultus VXR,415000,2004
38,Suzuki,CNG,99999,Suzuki Mehran VX,185000,1997
39,Toyota,Petrol,89000,Toyota Passo,1040000,2010
40,Suzuki,CNG,1,Suzuki Cultus VX,400000,2002
41,Suzuki,Petrol,100000,Suzuki Cultus VXR,360000,2001
42,Toyota,Petrol,69000,Toyota Vitz,1150000,2003
43,Suzuki,CNG,65000,Suzuki Mehran VX,265000,2005
44,Suzuki,CNG,73000,Suzuki Mehran VXR,435000,2009
45,Toyota,Petrol,163000,Toyota Corolla GLI,1220000,2009
46,Suzuki,CNG,56,Suzuki Cultus VXR,780000,2011
47,Suzuki,CNG,10000,Suzuki Bolan,250000,1987
48,Toyota,Petrol,190,Toyota Corrolla Altis,875000,2004
49,Toyota,CNG,65000,Toyota Corolla XLI,1260000,2013
50,Suzuki,Petrol,65000,Suzuki Cultus VXR,840000,2013
51,Suzuki,CNG,174000,Suzuki Alto,350000,2004
52,Suzuki,Petrol,5458,Suzuki Baleno,380000,2001
53,Suzuki,Petrol,90000,Suzuki Alto,340000,2007
54,Daihatsu,Petrol,88000,Daihatsu Mira,1050000,2013
