company,fuel_type,kms_driven,name,Price,year
Toyota,Diesel,1,Prado,2100000,1997
Suzuki,Petrol,100000,Bolan,380000,2006
Suzuki,CNG,12345,Bolan,340000,1998
Suzuki,Petrol,94000,Alto,535000,2010
Toyota,Petrol,100000,Corolla XLI,1430000,2013
Toyota,Petrol,80000,Corrolla Altis,1620000,2012
Suzuki,CNG,65000,Cultus VXL,450000,2006
Toyota,Petrol,10241,Corrolla Altis,2900000,2017
Suzuki,CNG,83000,Alto,490000,2009
Honda,Petrol,1,Civic VTi,480000,1997
Suzuki,CNG,123,Khyber,230000,1994
Suzuki,CNG,73000,Liana,535000,2006
Toyota,Petrol,78000,Passo,770000,2006
Honda,Petrol,1,Civic Prosmetic,490000,1997
Honda,CNG,170000,Civic EXi,160000,1984
Suzuki,Petrol,200000,Alto,425000,2005
Daihatsu,Petrol,100000,Charade,180000,1988
Mitsubishi,Petrol,82000,Pajero Mini,520000,1995
Suzuki,CNG,10000,Margalla,400000,1990
Honda,Petrol,69500,City IVTEC,1400000,2014
Suzuki,CNG,10000,Khyber,175000,1989
KIA,CNG,123456,Classic,120000,2001
Honda,CNG,87611,Civic EXi,590000,2000
Honda,Hybrid,19000,Other,425000,1995
Honda,CNG,99000,Civic EXi,685000,2005
Suzuki,CNG,88000,Alto,465000,2007
Toyota,Petrol,75000,Corolla GLI,1190000,2010
Other Brands,Petrol,124000,Other,850000,2010
Suzuki,CNG,76000,Cultus VXR,370000,2002
Nissan,Petrol,47000,Dayz Highway Star,1175000,2013
Toyota,Petrol,43000,Corolla XLI,1675000,2015
Suzuki,CNG,3875,Mehran VX,195000,1999
Suzuki,CNG,98000,Mehran VX,165000,1991
Suzuki,Petrol,1000,Alto,420000,2006
Toyota,Petrol,39000,Vitz,1430000,2014
Suzuki,CNG,127000,Mehran VXR,150000,1991
Suzuki,LPG,786,Carry,130000,1982
Suzuki,CNG,70,Cultus VXR,415000,2004
Suzuki,CNG,99999,Mehran VX,185000,1997
Toyota,Petrol,89000,Passo,1040000,2010
Suzuki,CNG,1,Cultus VX,400000,2002
Suzuki,Petrol,100000,Cultus VXR,360000,2001
Toyota,Petrol,69000,Vitz,1150000,2003
Suzuki,CNG,65000,Mehran VX,265000,2005
Suzuki,CNG,73000,Mehran VXR,435000,2009
Toyota,Petrol,163000,Corolla GLI,1220000,2009
Suzuki,CNG,56,Cultus VXR,780000,2011
Suzuki,CNG,10000,Bolan,250000,1987
Toyota,Petrol,190,Corrolla Altis,875000,2004
Toyota,CNG,65000,Corolla XLI,1260000,2013
Suzuki,Petrol,65000,Cultus VXR,840000,2013
Suzuki,CNG,174000,Alto,350000,2004
Suzuki,Petrol,5458,Baleno,380000,2001
Suzuki,Petrol,90000,Alto,340000,2007
Daihatsu,Petrol,88000,Mira,1050000,2013
Toyota,CNG,200000,Vitz,730000,2006
Suzuki,CNG,28800,Mehran VXR,195000,1995
Honda,Petrol,95000,Civic VTi Oriel Prosmatec,1070000,2007
Daihatsu,CNG,71000,Cuore,410000,2001
Daihatsu,CNG,100,Charade,155000,1984
Suzuki,CNG,1,Margalla,320000,1994
Toyota,Diesel,134000,Corolla 2.0 D,1080000,2010
Suzuki,CNG,1,Bolan,290000,1993
Toyota,Petrol,123456,Corolla XE,570000,1998
Toyota,Petrol,92000,Surf,4150000,2007
Suzuki,CNG,1,FX,90000,1988
Suzuki,Petrol,36000,Mehran VXR,590000,2015
Toyota,Petrol,40000,Corolla GLI,1740000,2015
Toyota,Petrol,85010,Corolla GLI,916000,2004
Daihatsu,Petrol,153736,Cuore,535000,2006
Suzuki,CNG,17000,Mehran VX,110000,1991
Honda,Petrol,100000,City IDSI,765000,2004
Toyota,Petrol,130000,Premio,1150000,2003
Suzuki,Petrol,150000,Alto,410000,2007
Suzuki,CNG,17000,Mehran VX,110000,1991
Honda,Petrol,100000,City IDSI,765000,2004
Toyota,Petrol,130000,Premio,1150000,2003
Suzuki,Petrol,150000,Alto,410000,2007
Toyota,Petrol,55000,Corolla GLI,1890000,2016
Suzuki,Petrol,70000,Cultus VXR,790000,2011
Daihatsu,Petrol,102000,Mira,785000,2011
Suzuki,Petrol,1700000,Mehran VX,270000,2006
Toyota,CNG,100000,Sprinter,150000,1987
BMW,CNG,53524,3 Series,550000,1997
Mazda,Petrol,78000,Other,825000,2007
Toyota,Diesel,40000,Hilux,3850000,2013
Suzuki,Petrol,90000,Mehran VXR,490000,2012
Toyota,Petrol,40000,Vitz,1250000,2010
Daihatsu,Petrol,80000,Charade,135000,1986
Mitsubishi,Petrol,96000,Lancer,780000,2008
Other Brands,Diesel,38000,Other,4500000,2012
Suzuki,Petrol,83000,Alto,430000,2006
Honda,Petrol,10900,Civic VTi Oriel Prosmatec,2880000,2017
Toyota,Petrol,64600,Passo,975000,2007
Suzuki,Petrol,80000,Cultus VXR,440000,2004
Suzuki,CNG,85000,Cultus VXR,440000,2007
Suzuki,CNG,52000,Mehran VXR,400000,2008
Suzuki,CNG,1,Bolan,305000,1997
Suzuki,Petrol,48000,Mehran VX,450000,2012
Suzuki,Petrol,50000,Swift,1140000,2015
Suzuki,Petrol,13300,Mehran VX,680000,2017
Suzuki,CNG,25000,Alto,335000,2004
Toyota,Petrol,74000,Estima,3350000,2010
Suzuki,Petrol,65000,Mehran VXR,405000,2011
Toyota,Petrol,1991,Prado,1150000,1991
Suzuki,Petrol,4200,Alto,450000,2006
Suzuki,Petrol,25000,Cultus VXR,865000,2014
Suzuki,Petrol,52000,Mehran VXR,400000,2008
Toyota,Petrol,60000,Passo,1090000,2010
Suzuki,CNG,125463,Mehran VXR,300000,2009
Suzuki,CNG,76000,Cultus VXR,440000,2000
Honda,Petrol,132000,Civic VTi,750000,2000
Honda,Petrol,17500,Vamos,820000,2011
Toyota,CNG,186000,Starlet,250000,1986
Daihatsu,CNG,62000,Cuore,425000,2005
Suzuki,Hybrid,62000,Mehran VXR,373000,2010
Toyota,Hybrid,88000,Prius,2500000,2013
Chevrolet,Petrol,100000,Joy,320000,2006
Toyota,Petrol,250000,Vitz,765000,2000
Toyota,Diesel,62,Hilux,5350000,2018
Daihatsu,CNG,100000,Charade,200000,1986
Honda,Petrol,85575,City IVTEC,1160000,2010
Toyota,Petrol,100000,Passo,9000000,2007
Mazda,CNG,10000,323,55000,1981
Toyota,Petrol,77000,Corrolla Altis,1110000,2010
Suzuki,CNG,89000,Alto,570000,2011
Toyota,Hybrid,83000,Prius,2830000,2015
Suzuki,CNG,65000,Cultus VXR,740000,2011
Suzuki,Petrol,1,Alto,320000,2009
Suzuki,Petrol,138000,Liana,560000,2007
Suzuki,Petrol,111000,Cultus VXR,750000,2011
Suzuki,CNG,60000,Cultus VXL,690000,2009
Honda,Petrol,60000,City IVTEC,1095000,2009
Toyota,Petrol,80000,Corolla GLI,1400000,2011
Suzuki,CNG,100,Mehran VX,145000,1991
Honda,Petrol,59000,Civic Prosmetic,1710000,2014
Toyota,CNG,8000000,Corolla XLI,900000,2007
Toyota,Petrol,11750,Corrolla Altis,2175000,2016
Toyota,CNG,13700,Other,105000,1978
Honda,Petrol,12345,Other,485000,2007
Honda,Petrol,70000,Civic VTi Oriel Prosmatec,1350000,2009
Daihatsu,Petrol,67000,Mira,1100000,2014
Suzuki,Petrol,1,Khyber,260000,1999
Honda,Petrol,80000,City IVTEC,1080000,2010
Daewoo,Petrol,100042,Racer,210000,1994
Suzuki,CNG,100000,Mehran VX,170000,1989
Toyota,Petrol,70000,Corolla GLI,1250000,2010
Toyota,Petrol,118000,Corrolla Altis,1320000,2011
Honda,Petrol,132000,Civic Prosmetic,1000000,2007
Suzuki,Petrol,1,Other,1150000,2008
Honda,CNG,100000,City IDSI,785000,2006
Nissan,CNG,6000000,Sunny,220000,1991
Suzuki,Petrol,1,Alto,450000,2007
Honda,CNG,200000,Accord,290000,1986
Suzuki,CNG,70000,Cultus VXR,825000,2011
Toyota,Hybrid,83000,Prius,2830000,2015
Suzuki,CNG,138000,Alto,430000,2010
Honda,Petrol,54000,Zest,950000,2011
Nissan,Petrol,100000,AD Van,930000,2007
Suzuki,Petrol,26000,APV,1275000,2014
Honda,Petrol,80000,Civic Prosmetic,760000,2003
Toyota,Petrol,160000,Vitz,980000,2012
Toyota,Petrol,100000,Passo,855000,2007
Suzuki,CNG,786110,Khyber,210000,1996
Suzuki,CNG,80000,Cultus VXR,600000,2009
Suzuki,CNG,25,FX,68000,1986
Suzuki,CNG,20000,Cultus VXR,520000,2006
Nissan,Petrol,103400,March,500000,2008
Honda,Petrol,17000,Civic EXi,700000,2004
Suzuki,CNG,82000,Cultus VXL,580000,2006
Daihatsu,Petrol,91000,Cuore,350000,2000
Suzuki,CNG,100000,Khyber,225000,1996
Toyota,Petrol,45000,Corolla XLI,1625000,2014
Suzuki,Petrol,86580,Bolan,500000,2007
Suzuki,Hybrid,100000,Khyber,260000,1991
KIA,CNG,17,Pride,118000,1996
Suzuki,Petrol,67000,Alto,535000,2008
Suzuki,CNG,13,Bolan,168000,1986
Honda,Petrol,200000,City IDSI,650000,2005
KIA,CNG,1,Sportage,220000,2000
Toyota,CNG,170000,Other,320000,1988
Honda,Petrol,1234,Civic EXi,95000,1985
Daihatsu,CNG,78000,Terios Kid,700000,2000
Daihatsu,Petrol,186000,Cuore,585000,2010
Toyota,Petrol,99600,Corolla GLI,1525000,2012
Hyundai,CNG,88000,Santro,440000,2006
Suzuki,LPG,12345,Carry,150000,1981
Honda,Hybrid,69000,Fit,1730000,2013
Toyota,Hybrid,120000,Prius,2000000,2014
Honda,CNG,1254,Civic EXi,545000,2001
Suzuki,CNG,100000,Alto,425000,2005
Suzuki,CNG,11111,Khyber,170000,1998
Suzuki,Petrol,70000,Cultus VXR,830000,2012
Suzuki,CNG,12,Mehran VX,155000,1994
Suzuki,CNG,123,Mehran VX,120000,1992
Suzuki,CNG,53000,Khyber,130000,1992
Suzuki,CNG,1,Mehran VXR,190000,1992
Suzuki,CNG,60000,Khyber,230000,1997
Daihatsu,CNG,124,Cuore,293000,2002
Daihatsu,Petrol,49000,Mira,1100000,2013
Suzuki,Petrol,1,Margalla,300000,1993
Suzuki,Petrol,50000,FX,55000,1984
Toyota,CNG,10000,Corolla GLI,685000,1999
FAW,Petrol,16900,V2,975000,2016
Daewoo,CNG,100000,Racer,225000,1994
Suzuki,CNG,50000,Mehran VX,370000,2012
Suzuki,Petrol,35955,Alto,510000,2008
Honda,Petrol,131389,City Aspire,930000,2006
Toyota,Petrol,1,Corolla XLI,250000,1980
Suzuki,Hybrid,786,Mehran VX,310000,2006
Suzuki,Petrol,116500,Alto,425000,2006
Suzuki,CNG,34000,Alto,750000,2011
Suzuki,Petrol,1,Cultus VXL,580000,2008
Honda,CNG,1160000,Civic VTi Oriel,600000,2001
Suzuki,CNG,112000,Cultus VXL,560000,2018
Toyota,Petrol,72000,Vitz,1275000,2012
Daihatsu,CNG,200000,Charade,130000,1983
Hyundai,CNG,80000,Santro,365000,2006
Toyota,Petrol,30000,Corolla GLI,300000,2012
Suzuki,CNG,10,Cultus VXL,540000,2005
Honda,Petrol,25000,BR-V,500000,2013
Hyundai,Petrol,10010,Santro,330000,2005
Suzuki,CNG,110000,Cultus VXR,510000,2000
Nissan,Petrol,30000,Dayz Highway Star,1450000,2016
Suzuki,Petrol,82000,Kei,995000,2015
Toyota,Petrol,97000,Probox,1100000,2007
Daihatsu,CNG,100000,Charade,130000,1991
Daihatsu,Petrol,127111,Hijet,785000,2012
Toyota,CNG,786786,86,195000,1986
Suzuki,CNG,55000,Alto,300000,2012
Suzuki,CNG,99000,Mehran VX,315000,2007
Daihatsu,Petrol,75000,Hijet,690000,2010
Suzuki,CNG,1,Mehran VX,165000,1991
Honda,Petrol,100000,Civic VTi Oriel Prosmatec,1750000,2013
Suzuki,CNG,500000,Bolan,490000,2007
Suzuki,CNG,1,Khyber,265000,1999
Daihatsu,Petrol,1,Cuore,550000,2006
Daihatsu,Petrol,20000,Mira,1260000,2015
Honda,Petrol,82500,Civic VTi Oriel Prosmatec,1079000,2007
Suzuki,CNG,140000,Cultus VXR,530000,2006
Suzuki,CNG,200000,FX,90000,1983
Daihatsu,CNG,1525555,Charade,150000,1984
Suzuki,Petrol,78000,Alto,550000,2008
Suzuki,Petrol,33937,Other,260000,1993
Honda,Petrol,126000,City IDSI,600000,2005
Daihatsu,CNG,100000,Charade,245000,1986
Suzuki,CNG,155000,Baleno,500000,2005
Suzuki,Petrol,96000,Alto,1040000,2015
Suzuki,CNG,112000,Alto,580000,2010
Honda,Petrol,150000,Civic EXi,600000,2001
Toyota,Petrol,60000,Passo,975000,2008
Daihatsu,CNG,150000,Cuore,340000,2007
Toyota,Petrol,1234,Other,500000,1982
Daihatsu,CNG,95000,Cuore,465000,2005
Daihatsu,CNG,85236,Cuore,150000,1993
Toyota,Petrol,74000,Vitz,910000,2005
Toyota,Petrol,25000,Yaris,280000,2015
Toyota,Hybrid,56000,Aygo,1975000,2014
Toyota,Petrol,1,Vitz,930000,2007
Suzuki,Petrol,62000,Cultus VXR,860000,2014
Toyota,Petrol,74000,Rush,1600000,2007
Daihatsu,Petrol,80000,Hijet,725000,2015
Suzuki,CNG,356425,Margalla,240000,1993
Suzuki,CNG,52000,FX,140000,1985
Daihatsu,Petrol,1234567,Mira,965000,2014
Suzuki,CNG,1,Mehran VX,120000,1989
Toyota,Hybrid,120000,Prius,2000000,2010
Honda,Petrol,89000,Civic VTi Oriel Prosmatec,2325000,2016
Nissan,Petrol,44000,Dayz,1120000,2015
Toyota,Petrol,125000,Vitz,950000,2008
Suzuki,Petrol,57000,Alto,960000,2016
Toyota,Petrol,35000,Fortuner,210000,2011
Daihatsu,Petrol,29800,Mira,1140000,2015
Daihatsu,CNG,10000000,Charade,60000,1984
Toyota,Petrol,1000,Passo,795000,2007
Toyota,CNG,99000,Corolla GLI,1135000,2009
Suzuki,Petrol,82000,Cultus VXR,785000,2012
Suzuki,CNG,1,Bolan,365000,1997
Suzuki,Petrol,100000,Every,960000,2014
Daihatsu,Petrol,1,Other,200000,1986
Toyota,Petrol,120000,Corolla XLI,800000,2006
Suzuki,CNG,77000,Alto,405000,2004
Daihatsu,Petrol,38000,Mira,1250000,2014
Suzuki,CNG,100000,Cultus VXR,650000,2008
Suzuki,CNG,95410,Cultus VXR,695000,2012
Suzuki,CNG,82000,Alto,535000,2008
Suzuki,CNG,100000,Alto,465000,2007
Suzuki,CNG,12500,Liana,600000,2008
Daihatsu,Petrol,22500,Mira,1250000,2016
Honda,Petrol,150000,Civic EXi,820000,2004
Suzuki,Petrol,100000,Alto,450000,2007
Daihatsu,Petrol,92000,Cuore,600000,2006
Toyota,Petrol,100000,Camry,1650000,2006
Toyota,Petrol,150000,Corrolla Altis,1550000,2011
Suzuki,Petrol,44000,Cultus VXR,860000,2013
Toyota,CNG,270000,Corolla XLI,950000,2006
Suzuki,Petrol,68500,Swift,1165000,2011
Toyota,Petrol,35000,Prado,7550000,2013
Suzuki,CNG,10,Alto,510000,2005
Toyota,CNG,12345,Corolla XE,570000,1998
Suzuki,CNG,74000,Swift,215000,1989
Toyota,Petrol,36000,Aqua,1650000,2015
Suzuki,CNG,48000,Cultus VXL,570000,2006
Suzuki,Petrol,100000,Mehran VXR,400000,2010
Honda,CNG,153000,Civic EXi,450000,1998
Toyota,Petrol,76000,Vitz,1060000,2009
Hyundai,CNG,100000,Santro,500000,2001
Nissan,Petrol,15000,Dayz,1200000,2015
Suzuki,CNG,1515151,Mehran VX,315000,2008
Toyota,CNG,105000,Corolla Assista,1125000,2002
Toyota,Petrol,26000,Corolla GLI,1810000,2016
Honda,CNG,1,City IVTEC,520000,2000
Hyundai,CNG,70000,Santro,270000,2001
Honda,Petrol,1234,Civic EXi,380000,1999
Honda,Petrol,117000,City IDSI,860000,2007
Suzuki,Petrol,52000,Mehran VX,280000,1998
Toyota,Hybrid,42850,Aqua,1900000,2015
Daihatsu,Petrol,8400,Mira,1225000,2015
Honda,Petrol,74000,Civic VTi Oriel Prosmatec,1375000,2011
Toyota,Petrol,9000,Corrolla Altis,2835000,2017
Daihatsu,Petrol,35000,Mira,1250000,2013
Toyota,Petrol,1234,Sera,575000,1990
Honda,Petrol,44000,Civic VTi Oriel Prosmatec,1660000,2012
Suzuki,Petrol,87000,Cultus VXR,660000,2009
Honda,CNG,100000,City IDSI,775000,2006
Suzuki,CNG,1,Khyber,260000,1999
Suzuki,CNG,59000,Cultus VXR,865000,2013
Suzuki,CNG,100000,FX,120000,1985
Suzuki,Petrol,80000,Carry,825000,2012
Daihatsu,Petrol,88000,Hijet,810000,2012
Toyota,Petrol,1,Vitz,850000,2009
Mitsubishi,CNG,100000,Lancer,750000,2005
Suzuki,CNG,100000,FX,120000,1988
Daihatsu,Petrol,60000,Mira,920000,2014
Honda,Petrol,139000,Acty,625000,2010
Honda,Petrol,69000,Civic VTi Oriel Prosmatec,1850000,2014
Daihatsu,CNG,545,Cuore,320000,2000
Suzuki,Petrol,19800,Cultus VXL,1400000,2018
Suzuki,Petrol,69000,Bolan,290000,1994
Suzuki,CNG,123,Bolan,330000,1997
Other Brands,Petrol,69000,Other,685000,2006
Toyota,Petrol,150000,Corolla XE,565000,1992
Nissan,Petrol,44400,Moco,1220000,2014
Daihatsu,Petrol,28000,Mira,1170000,2017
Suzuki,Petrol,90000,Mehran VX,140000,2006
Toyota,Petrol,74516,Corolla GLI,1315000,2011
Suzuki,CNG,200000,Khyber,200000,1992
Suzuki,Petrol,333333,Khyber,235000,1989
Suzuki,CNG,1,Mehran VX,300000,2005
Suzuki,CNG,89300,Alto,534999,2010
Suzuki,Petrol,71000,Alto,520000,2008
Suzuki,CNG,125000,Cultus VXR,400000,2000
Daihatsu,Petrol,22000,Mira,1170000,2014
Suzuki,Petrol,78000,Cultus VXR,770000,2012
Suzuki,Petrol,1234,Mehran VXR,260000,1993
Suzuki,CNG,100000,Khyber,240000,1995
Suzuki,Petrol,750000,Every,820000,2010
Suzuki,CNG,97500,Khyber,360000,1997
Suzuki,Petrol,30000,Cultus VXR,575000,2007
Honda,CNG,120000,City IDSI,530000,2002
KIA,CNG,198000,Pride,250000,1996
Suzuki,CNG,1000,Margalla,285000,1997
Suzuki,CNG,1,Khyber,235000,1990
Toyota,Petrol,84000,Corolla GLI,1125000,2011
Suzuki,Petrol,20000,Wagon R,1260000,2017
Toyota,Hybrid,30500,Aqua,1865000,2014
Suzuki,CNG,1,Bolan,350000,1997
Suzuki,Petrol,1,Baleno,425000,2003
Honda,Petrol,44000,City IVTEC,1425000,2013
Toyota,Petrol,225000,Premio,1225000,2003
Suzuki,Petrol,10000,Every,880000,2011
Suzuki,CNG,10000,Mehran VXR,210000,2005
Mercedes,Petrol,32999,Smart,1865000,2015
Toyota,Petrol,112360,86,370000,1982
Toyota,Petrol,11000,Corolla XLI,1830000,2017
Toyota,Petrol,86000,Corolla XLI,1150000,2010
Suzuki,CNG,70000,Cultus VXR,680000,2010
Nissan,Petrol,90026,March,680000,2006
Daihatsu,Petrol,43500,Mira,1100000,2014
Suzuki,CNG,5000,Bolan,520000,2007
Toyota,CNG,80000,Corolla GLI,1490000,2012
Honda,CNG,146000,Civic VTi,850000,2005
Honda,Petrol,170000,Civic Prosmetic,685000,2002
Toyota,Petrol,53001,Corolla XLI,1575000,2014
Other Brands,Petrol,1,Other,635000,2008
Suzuki,Petrol,42500,Wagon R,1025000,2016
Toyota,Petrol,1020000,Corolla GLI,1080000,2008
Nissan,Petrol,9999,Sunny,500000,1998
Mazda,Petrol,78000,Demio,812000,2007
Suzuki,Hybrid,111111,Mehran VX,199000,2003
KIA,CNG,100000,Sportage,845000,2005
Honda,CNG,386700,City IDSI,380000,1998
Toyota,Petrol,81000,Corolla XLI,1185000,2009
Suzuki,CNG,75000,Bolan,490000,2008
Suzuki,CNG,88000,Alto,500000,2009
Suzuki,CNG,100000,Mehran VXR,290000,2007
Suzuki,Petrol,60,Bolan,420000,2003
Toyota,Petrol,125000,Corona,240000,1973
Toyota,Petrol,21000,Passo,1560000,2015
Daihatsu,CNG,100000,Charade,255000,1987
Toyota,Petrol,65000,Vitz,1400000,2012
Suzuki,CNG,60000,Cultus VXR,665000,2011
Toyota,Petrol,78500,Vitz,1100000,2009
Mitsubishi,CNG,170000,Lancer,400000,1997
Suzuki,Petrol,31258,Mehran VXR,580000,2014
Honda,Petrol,1,Civic VTi Oriel Prosmatec,750000,2004
Suzuki,CNG,185252,Alto,380000,2006
Toyota,Hybrid,86000,Aqua,1800000,2014
Toyota,CNG,152400,Corolla GLI,600000,1998
Honda,Petrol,70000,City IVTEC,1396000,2013
Honda,Petrol,83000,Civic VTi Oriel Prosmatec,1090000,2011
Suzuki,Petrol,100000,Cultus VXR,650000,2009
Honda,Petrol,123456,Civic Prosmetic,840000,2005
