name,Price,year,kms_driven,fuel_type,company
Toyota Vitz F 1.0 2017,2385000,2017,9869,Petrol,Toyota
Toyota Corolla GLi Automatic 1.3 VVTi 2019,111000,2019,11111,Petrol,Toyota
Suzuki Alto VXL 2019,1530000,2019,17500,Petrol,Suzuki
Suzuki Alto VXR 2019,1650000,2019,9600,Petrol,Suzuki
Toyota Corolla XLi VVTi 2010,1435000,2010,120000,Petrol,Toyota
Honda Civic 1.5 RS Turbo 2017,3850000,2017,22000,Petrol,Honda
Suzuki Wagon R VXL 2017,1440000,2017,31000,Petrol,Suzuki
Mitsubishi Mirage 1.0 G 2012,1425000,2012,101000,Petrol,Mitsubishi
Toyota Prado TZ 3.0D 1998,2650000,1998,110000,Diesel,Toyota
Honda Civic Oriel 1.8 i-VTEC CVT 2017,3350000,2017,60000,Petrol,Honda
Honda Vezel Hybrid X 2014,3200000,2014,91000,Hybrid,Honda
Honda City 1.3 i-VTEC 2017,1990000,2017,75000,Petrol,Honda
Toyota Passo 2010,1470000,2010,67000,Petrol,Toyota
Honda N Wgn Custom G 2016,185000,2016,20000,Petrol,Honda
Suzuki Cultus EURO II 2012,920000,2012,83000,Petrol,Suzuki
Toyota Corolla GLi Automatic 1.3 VVTi 2018,2750000,2018,51240,Petrol,Toyota
Honda N Wgn Custom G Turbo 2017,1150000,2017,100000,Petrol,Honda
Honda City i-DSI 2004,910000,2004,150000,Petrol,Honda
Suzuki Wagon R FX Limited 2016,1625000,2016,45000,Petrol,Suzuki
Honda City 1.3 i-VTEC 2016,2100000,2016,58000,Petrol,Honda
Toyota Vitz FL 1.0 2001,965000,2001,135000,Petrol,Toyota
Suzuki Mehran VX Euro II 2018,840000,2018,55000,Petrol,Suzuki
Honda N One Premium 2012,1485000,2012,74000,Petrol,Honda
Suzuki Khyber Plus 2000,400000,2000,90000,Petrol,Suzuki
Honda Civic VTi 1.8 i-VTEC 2012,1985000,2012,95000,Petrol,Honda
Toyota Corolla Altis Automatic 1.6 2016,2445000,2016,96000,Petrol,Toyota
Toyota Corolla XLi VVTi Ecotec 2011,1360000,2011,125000,Petrol,Toyota
Honda City 1.3 i-VTEC Prosmatec 2018,2485000,2018,30000,Petrol,Honda
Honda Civic 2007,1850000,2007,70000,Hybrid,Honda
Toyota Corolla Altis Grande CVT-i 1.8 2019,3785000,2019,24000,Petrol,Toyota
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2010,1490000,2010,176000,Petrol,Honda
Suzuki Alto S Package 2016,1445000,2016,65000,Petrol,Suzuki
Suzuki Wagon R Stingray J Style 2013,1495000,2013,85000,Petrol,Suzuki
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2011,1815000,2011,74000,Petrol,Honda
Honda Civic Oriel 1.8 i-VTEC CVT 2018,3550000,2018,51946,Petrol,Honda
Honda City 1.3 i-VTEC 2018,2300000,2018,31000,Petrol,Honda
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2012,2400000,2012,110392,Petrol,Honda
Honda Civic VTi Oriel 1.8 i-VTEC 2015,2390000,2015,90000,Petrol,Honda
Nissan Dayz J 2017,1400000,2017,86000,Petrol,Nissan
Daihatsu Mira L SA 2014,1345000,2014,77000,Petrol,Daihatsu
Suzuki Alto X 2016,1495000,2016,63000,Petrol,Suzuki
Toyota Prius Alpha S 2015,3500000,2015,120000,Petrol,Toyota
Honda City VTEC Steermatic 2006,1210000,2006,180000,Petrol,Honda
Honda City EXi 2000,625000,2000,165000,Petrol,Honda
Toyota Corolla Altis SR Cruisetronic 1.8 2010,1750000,2010,108000,Petrol,Toyota
Honda Civic 2001,820000,2001,207178,Petrol,Honda
Suzuki Wagon R VXL 2016,1385000,2016,82000,Petrol,Suzuki
Toyota Corolla GLi 1.3 VVTi 2014,1880000,2014,150500,Petrol,Toyota
Toyota Corolla GLi Automatic 1.3 VVTi 2019,3000000,2019,20000,Petrol,Toyota
Suzuki Mehran VXR 2005,495000,2005,85000,Petrol,Suzuki
Honda City 1.3 i-VTEC 2016,1970000,2016,95000,Petrol,Honda
Toyota Corolla GLi 1.3 2005,1170000,2005,143000,Petrol,Toyota
Toyota Prius S LED Edition 1.8 2014,2980000,2014,78000,Petrol,Toyota
Honda City i-DSI 2005,1025000,2005,95000,Petrol,Honda
Suzuki Mehran VX (CNG) 2010,585000,2010,84000,Petrol,Suzuki
Honda Civic EXi 2004,1140000,2004,149000,Petrol,Honda
Daihatsu Mira G SA 2014,1550000,2014,55000,Petrol,Daihatsu
Suzuki Cultus EURO II 2014,1215000,2014,68000,Petrol,Suzuki
Honda Civic VTi Oriel 1.8 i-VTEC 2014,2265000,2014,57000,Petrol,Honda
Nissan Juke 15RS 2012,2400000,2012,55000,Petrol,Nissan
Toyota Passo Moda G 2017,2350000,2017,35000,Petrol,Toyota
Suzuki Wagon R VXL 2018,1510000,2018,28000,Petrol,Suzuki
Suzuki Bolan VX Euro II 2018,955000,2018,41593,Petrol,Suzuki
Honda Civic Oriel 1.8 i-VTEC CVT 2016,3045000,2016,57000,Petrol,Honda
Honda Civic Oriel 1.8 i-VTEC CVT 2017,3345000,2017,46000,Petrol,Honda
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2013,2245000,2013,85000,Petrol,Honda
Honda Civic Oriel 1.8 i-VTEC CVT 2018,3345000,2018,47000,Petrol,Honda
Suzuki Swift DLX 1.3 2015,1420000,2015,78000,Petrol,Suzuki
Honda City 1.3 i-VTEC 2014,1835000,2014,65000,Petrol,Honda
Suzuki Liana RXi (CNG) 2006,895000,2006,83000,Petrol,Suzuki
Toyota Prius A Premium Touring Selection 2016,5200000,2016,15205,Petrol,Toyota
Suzuki Alto GII 2008,700000,2008,123000,Petrol,Suzuki
Suzuki Cultus VXR 2018,1720000,2018,28575,Petrol,Suzuki
Toyota Passo + Hana 1.0 2014,1650000,2014,80000,Petrol,Toyota
Toyota Prius L 1.8 2010,1960000,2010,80000,Hybrid,Toyota
Daihatsu Hijet 2013,1120000,2013,220000,Petrol,Daihatsu
Suzuki Cultus VXR (CNG) 2006,650000,2006,123456,Petrol,Suzuki
Toyota Prius L 1.8 2014,2790000,2014,90520,Petrol,Toyota
Daihatsu Mira Gino 2014,1490000,2014,63200,Petrol,Daihatsu
Suzuki Margalla GLX 1993,250000,1993,500000,Hybrid,Suzuki
Toyota Corolla Altis Automatic 1.6 2016,2600000,2016,52000,Petrol,Toyota
Toyota Hilux D-4D Automatic 2010,3800000,2010,215000,Diesel,Toyota
Toyota Belta X 1.0 2006,1275000,2006,105000,Petrol,Toyota
Toyota Camry Hybrid 2012,5000000,2012,100000,Petrol,Toyota
Daihatsu Mira ES 2015,1630000,2015,680000,Petrol,Daihatsu
Audi A4 1.4 TFSI  2017,8700000,2017,5900,Petrol,Audi
Daihatsu Mira ES 2012,1300000,2012,65000,Petrol,Daihatsu
Toyota Noah X G EDITION 2015,3850000,2015,35000,Hybrid,Toyota
Toyota Prado TZ G 4.0 2012,13900000,2012,75000,Petrol,Toyota
Toyota Prius G 1.5 2008,1725000,2008,90000,Petrol,Toyota
Honda BR-V i-VTEC S 2018,2875000,2018,37000,Petrol,Honda
Toyota Harrier 2014,9175000,2014,61118,Petrol,Toyota
Toyota Corolla Altis Automatic 1.6 2019,3400000,2019,4000,Petrol,Toyota
Honda Vezel Hybrid RS Honda Sensing  2016,4630000,2016,51000,Petrol,Honda
Honda City Aspire Prosmatec 1.5 i-VTEC 2018,2725000,2018,11012,Petrol,Honda
Honda City Aspire 1.5 i-VTEC 2015,1875000,2015,55000,Petrol,Honda
Suzuki Liana RXi 2006,780000,2006,156000,Hybrid,Suzuki
Daihatsu Hijet Cruise 2010,910000,2010,130394,Petrol,Daihatsu
Suzuki Bolan VX Euro II 2016,950000,2016,25000,Petrol,Suzuki
Suzuki Swift DLX 1.3 Navigation  2013,1500000,2013,80000,Petrol,Suzuki
Suzuki Wagon R VXL 2018,1500000,2018,30000,Petrol,Suzuki
Suzuki Wagon R FX Limited 2014,1450000,2014,32000,Petrol,Suzuki
Suzuki Mehran VXR Euro II 2018,925000,2018,50000,Petrol,Suzuki
Toyota Corolla Fielder Hybrid G 2015,3000000,2015,200000,Petrol,Toyota
Honda N Wgn G L Package 2016,1595000,2016,41000,Petrol,Honda
Suzuki Liana LXi 2006,650000,2006,107602,Petrol,Suzuki
Toyota Land Cruiser VX 4.2D 1994,2700000,1994,117000,Diesel,Toyota
Toyota Corolla Altis Automatic 1.6 2018,3025000,2018,21000,Petrol,Toyota
